Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Semantic Annotation and Indexing of News and Sports Videos","SOFSEM 2002: Theory and Practice of Informatics","","","","10.1007/3-540-36137-5_6","Jürgen AssfalgMarco BertiniCarlo ColomboAlberto Del BimboWalter Nunziati","2002","http://link.springer.com/chapter/10.1007/3-540-36137-5_6","Chapter"
"ISANA: Wearable Context-Aware Indoor Assistive Navigation with Obstacle Avoidance for the Blind","Computer Vision – ECCV 2016 Workshops","","","","10.1007/978-3-319-48881-3_31","Bing LiJ. Pablo MuñozXuejian RongJizhong XiaoYingli TianAries Arditi","2016","http://link.springer.com/chapter/10.1007/978-3-319-48881-3_31","Chapter"
"Mathematical formula identification and performance evaluation in PDF documents","International Journal on Document Analysis and Recognition (IJDAR)","","17","3","10.1007/s10032-013-0216-1","Xiaoyan LinLiangcai GaoZhi TangJosef BakerVolker Sorge","2014","http://link.springer.com/article/10.1007/s10032-013-0216-1","Article"
"Footsteps from the Garden — Arcadian Knowledge Spaces","Social Navigation of Information Space","","","","10.1007/978-1-4471-0837-5_14","Andrew McGrathAlan Munro","1999","http://link.springer.com/chapter/10.1007/978-1-4471-0837-5_14","Chapter"
"Footsteps from the Garden: Arcadian Knowledge Spaces","Designing Information Spaces: The Social Navigation Approach","","","","10.1007/978-1-4471-0035-5_8","Andrew McGrathAlan Munro","2003","http://link.springer.com/chapter/10.1007/978-1-4471-0035-5_8","Chapter"
"A survey on automatic techniques for enhancement and analysis of digital photography","Journal of the Brazilian Computer Society","","19","3","10.1007/s13173-013-0102-1","Claudio S. V. C. CavalcantiHerman Martins GomesJosé Eustáquio Rangel De Queiroz","2013","http://link.springer.com/article/10.1007/s13173-013-0102-1","Article"
"Toward Web mining of cross-language query translations in digital libraries","International Journal on Digital Libraries","","4","4","10.1007/s00799-004-0091-y","Jenq-Haur WangWen-Hsiang LuLee-Feng Chien","2004","http://link.springer.com/article/10.1007/s00799-004-0091-y","Article"
"Attribute CNNs for word spotting in handwritten documents","International Journal on Document Analysis and Recognition (IJDAR)","","","","10.1007/s10032-018-0295-0","Sebastian SudholtGernot A. Fink","2018","http://link.springer.com/article/10.1007/s10032-018-0295-0","Article"
"Multimedia Interfaces: Designing for Diversity","Multimedia Systems and Techniques","","","","10.1007/978-1-4613-1341-0_3","Meera Blattner","1996","http://link.springer.com/chapter/10.1007/978-1-4613-1341-0_3","Chapter"
"Hyper Media News: a fully automated platform for large scale analysis, production and distribution of multimodal news content","Multimedia Tools and Applications","","63","2","10.1007/s11042-011-0859-1","Alberto MessinaMaurizio MontagnuoloRiccardo Di MassaRoberto Borgotallo","2013","http://link.springer.com/article/10.1007/s11042-011-0859-1","Article"
